ID,Title,Description,Priority,Dependencies,Acceptance Criteria,Owner,Estimate
SET-01,Create Firebase projects,"Create dev and prod Firebase projects; enable Auth, Firestore, Storage; set regions; service accounts.",P0,,"Dev+prod projects created and reachable from app.",,
SET-02,Configure environment/secrets,"Set up .env and CI secrets for dev/prod; ensure secure handling.",P0,SET-01,"Local build uses correct dev keys; CI masks secrets.",,
SET-03,Enable HTTPS,"Ensure HTTPS/HSTS for web or secure transport for mobile.",P0,,"All endpoints load over TLS; HSTS if web.",,
SET-04,Firestore indexes plan,"Define collections and composite indexes; deploy indexes.",P0,SET-01,"Required indexes exist; deploy succeeds.",,
SET-05,Monitoring setup,"Initialize Crashlytics/Sentry and GA4 analytics.",P0,SET-01,"Test crash + event visible in console.",,
AUTH-01,Email/password auth,"Implement email signup, signin, signout, reset password.",P0,SET-01,"User can sign up/in/out; reset works.",,
AUTH-02,Anonymous/guest mode,"Allow guest accounts with upgrade to email preserving data.",P0,AUTH-01,"Guest can create data; link to email preserves data.",,
AUTH-03,OAuth providers,"Add Google/Apple/Facebook sign-in.",P1,SET-01;DEV-ACCOUNTS-01,"Sign-in works for each provider.",,
AUTH-04,Token refresh,"Handle auth token refresh on resume/idle.",P0,AUTH-01,"No 401s on app resume; silent refresh verified.",,
AUTH-05,Account deletion,"Delete account with server cleanup.",P1,FUNC-03,"User data purged; token revoked.",,
AUTH-06,Profile privacy setting,"Public/private profile toggle and enforcement.",P1,RULES-02;UI-05,"Toggling privacy changes read visibility.",,
DB-01,Define data schemas,"Implement collections: users/profile,catches,gear; species; weatherLogs.",P0,SET-04,"Schemas documented and used.",,
DB-02,Indexes for stats/filters,"Create composite indexes e.g., species+date, date+location grid.",P0,SET-04,"Queries do not require ad-hoc index prompts.",,
DB-03,Geolocation strategy,"Choose geohash or lat/lng grid for proximity queries.",P1,UI-08,"Nearby queries return within radius.",,
DB-04,Species seed import,"Tool/script to populate species database.",P1,OPS-04,"Species DB populated in dev/prod.",,
FUNC-01,Default profile on signup,"Cloud Function to create default profile on user create.",P0,AUTH-01;DB-01,"New profile auto-exists.",,
FUNC-02,Catch stats aggregation,"Aggregate per-user stats (totals, by species, last 30d).",P1,DB-01,"Stats read matches client-side recompute.",,
FUNC-03,Account deletion cleanup,"Function to purge user data subtree and storage files.",P1,AUTH-05,"Data/tasks complete within minutes; idempotent.",,
FUNC-04,Periodic cleanup jobs,"Scheduled cleanup for orphaned storage/stale logs.",P2,SET-01,"Scheduled runs visible in logs.",,
FUNC-05,Short-lived image URLs,"Issue short-lived signed URLs for images.",P1,RULES-03,"URLs expire; unauthorized download blocked.",,
STOR-01,Storage path strategy,"Buckets and path convention users/{uid}/...",P0,SET-01,"Uploaded images land in correct paths.",,
STOR-02,Image upload flows,"Upload profile/catch/gear images with retries.",P0,UI-02;UI-04;UI-10,"Image appears after upload; retry on flaky network.",,
STOR-03,Storage security rules,"Owner-only access per path; content-type checks.",P0,RULES-03,"Cross-user access denied.",,
RULES-01,Firestore owner rules,"Owners can CRUD within users/{uid}; public profile reads.",P0,AUTH-01;DB-01,"Simulator tests pass.",,
RULES-02,Public profile reads only,"Public profile fields readable; catches private.",P1,AUTH-06,"Public visible fields only; private blocked.",,
RULES-03,Storage rules,"Enforce user-path and content-type; size limits.",P0,STOR-01,"Rule unit tests pass.",,
RULES-04,Server-side validation,"Validate species IDs, size bounds, sane timestamps.",P1,FUNC-02,"Invalid writes rejected.",,
